train_loss,valid_loss
0.692791,0.694106
0.631046,0.686987
0.606186,0.658898
0.592628,0.630279
0.575257,0.618530
0.548428,0.624223
0.555526,0.623414
0.557419,0.644859
0.535386,0.676994
0.551194,0.611109
0.529803,0.624870
0.500320,0.661664
0.534079,0.580233
0.512844,0.616812
0.488052,0.649245
0.479245,0.570227
0.487449,0.554874
0.472464,0.538885
0.473222,0.555324
0.473470,0.663791
0.453218,0.591740
0.459669,0.521971
0.452242,0.506193
0.440691,0.559042
0.434584,0.532899
0.441510,0.509753
0.429053,0.516743
0.426121,0.506977
0.460424,0.556261
0.450117,0.521138
0.419395,0.515871
0.415790,0.534221
0.437635,0.478962
0.416579,0.501961
0.409224,0.507226
0.410385,0.505792
0.410191,0.498782
0.405434,0.499166
0.400984,0.505286
0.402172,0.510532
0.403349,0.510017
0.400224,0.508862
0.397842,0.506021
0.400349,0.508288
0.412339,0.509050
0.405227,0.508781
0.403545,0.508329
0.399370,0.507733
0.388536,0.506983
0.386686,0.507190
