train_loss,valid_loss
0.594023,1.346048
0.582084,1.335014
0.556918,1.501538
0.509004,1.222506
0.488711,1.621004
0.459737,1.310132
0.441016,1.405649
0.413762,2.083632
0.581267,1.287804
0.542913,1.186585
0.525363,1.149931
0.507613,1.176221
0.471220,1.591281
0.447455,1.307508
0.415606,1.330069
0.426532,1.274558
0.398743,1.351424
0.380262,1.295678
0.357309,1.308045
0.341803,1.325365
0.334502,1.277772
0.326675,1.541970
0.323217,1.288217
0.320407,1.351516
0.317461,1.298689
0.315753,1.369062
0.314711,1.453650
0.313355,1.430992
0.313153,1.381703
0.312844,1.413457
