train_loss,valid_loss
0.975357,1.294772
0.817882,1.091335
0.651661,0.963948
0.541935,1.000228
0.489636,1.020060
0.456688,0.894479
0.436318,1.219859
0.410535,1.114514
0.388673,0.976223
0.368010,0.893696
0.354134,1.046788
0.345882,1.081955
0.339304,1.147563
0.334212,0.987355
0.323809,0.933060
0.311174,0.959752
0.296971,1.061609
0.285834,0.941929
0.278346,0.890483
0.271723,0.902305
0.266953,0.905577
0.260389,0.936420
0.256408,0.837141
0.251454,0.948473
0.247459,0.867095
0.244312,0.897447
0.241293,0.945345
0.236714,0.919339
0.234370,0.945671
0.229397,0.902010
0.227891,0.928148
0.225547,1.001386
0.222577,0.920257
0.220030,0.900802
0.217420,0.957191
0.216906,0.908769
0.213954,0.963284
0.211546,0.988347
0.210132,0.956880
0.208894,0.960509
0.207750,0.965478
0.206096,0.953704
0.205619,0.953126
0.204786,0.968721
0.204337,0.975523
0.203777,0.970806
0.203021,0.966741
0.202661,0.967714
0.203183,0.971154
0.202728,0.979004
