train_loss,valid_loss
0.647542,0.331345
0.600603,0.289683
0.405387,0.800495
0.186740,0.635300
0.132349,0.637617
0.138029,1.360585
0.108799,0.481275
0.084342,0.736614
0.096949,0.449924
0.080633,0.439955
0.063330,0.601490
0.058968,0.462671
0.058348,0.309470
0.053966,0.405739
0.050566,0.644574
0.049427,0.777678
0.045670,0.654989
0.043770,0.547272
0.044299,0.485883
0.042866,0.772363
0.043323,0.522208
0.041201,0.697909
0.040669,0.622835
0.038820,0.706886
0.040127,0.740877
0.039825,0.576735
0.038491,0.599880
0.037346,0.620463
0.038893,0.650227
0.038349,0.612437
