train_loss,valid_loss
0.093772,0.049431
0.099794,0.059223
0.106054,0.050217
0.083840,0.055639
0.081427,0.064243
0.056252,0.048024
0.223453,0.118131
0.110845,0.059517
0.059876,0.056606
0.142021,0.058237
0.126446,0.039083
0.055633,0.035303
0.046068,0.058098
0.039853,0.039576
0.067005,0.021296
0.052419,0.021260
0.049034,0.023586
0.071706,0.050681
0.040149,0.020693
0.081679,0.023798
0.036175,0.038402
0.090065,0.032195
0.042239,0.058466
0.037692,0.039009
0.025400,0.029763
0.023589,0.027572
0.026757,0.028961
0.028300,0.032847
0.026554,0.028659
0.088061,0.024893
