train_loss,valid_loss
0.720319,0.693980
0.683043,0.694390
0.644964,0.693531
0.628971,0.690192
0.595681,0.681879
0.589637,0.660500
0.577446,0.648415
0.537309,0.621885
0.529435,0.624029
0.523614,0.574478
0.507594,0.589312
0.497637,0.694404
0.499277,0.595458
0.487936,0.622194
0.477318,0.546721
0.446730,0.612308
0.471451,0.773453
0.436406,0.796691
0.432708,0.636790
0.416628,0.646345
0.435592,0.658721
0.419485,0.553224
0.403257,0.575755
0.391282,0.538244
0.373631,0.531391
0.366562,0.518889
0.366537,0.559334
0.361742,0.555261
0.353276,0.570080
0.354723,0.561896
0.370714,0.553339
0.366652,0.550708
0.382490,0.585369
0.358401,0.535807
0.342777,0.547109
0.353539,0.550252
0.340516,0.545699
0.331813,0.542894
0.344468,0.541301
0.332078,0.537750
0.333596,0.534593
0.327730,0.530776
0.331427,0.528414
0.329721,0.526248
0.332660,0.525453
0.326790,0.524489
0.327788,0.525071
0.331009,0.525006
0.329059,0.524609
0.331776,0.524571
