train_loss,valid_loss
0.704517,0.693156
0.681745,0.693217
0.701062,0.693172
0.692175,0.693500
0.694019,0.693985
0.684360,0.694116
0.695187,0.696366
0.694336,0.700061
0.695391,0.700900
0.691584,0.693716
0.700230,0.695244
0.699924,0.695096
0.704034,0.693909
0.705787,0.695309
0.687527,0.694395
0.711614,0.697661
0.706901,0.697234
0.695921,0.697589
0.700448,0.714328
0.696897,0.692800
0.684034,0.692340
0.691571,0.693902
0.701403,0.692283
0.699200,0.697222
0.683773,0.693892
0.695959,0.693183
0.707883,0.698490
0.706972,0.697321
0.695751,0.692414
0.691903,0.691989
0.698426,0.692423
0.698107,0.692050
0.691441,0.698011
0.697581,0.687888
0.680496,0.697470
0.693365,0.742963
0.697986,0.804316
0.707343,0.732144
0.697190,0.703971
0.709826,0.695953
0.699058,0.691444
0.692451,0.693881
0.695056,0.692371
0.688185,0.695240
0.692921,0.696531
0.682907,0.700208
0.700314,0.728467
0.696553,0.706383
0.702252,0.753323
0.687821,0.689491
0.699500,0.686777
0.702149,0.692150
0.681067,0.736421
0.683665,0.683262
0.689816,0.713134
0.667465,0.813262
0.697713,0.813228
0.685733,0.769468
0.703481,0.727384
0.697394,0.714489
0.696596,0.704880
0.701798,0.703662
0.699076,0.704995
0.702040,0.693127
0.687027,0.692553
0.684054,0.692180
0.700690,0.691888
0.694730,0.691314
0.680561,0.756589
0.684419,0.708442
0.695450,0.690219
0.697557,0.705494
0.684851,0.701399
0.697337,0.702315
0.691640,0.812943
0.685527,0.761967
0.692893,0.703103
0.696843,0.694887
0.690239,0.694174
0.685686,0.694325
0.697661,0.698170
0.685688,0.696698
0.686715,0.698080
0.682807,0.701186
0.693153,0.702448
0.686313,0.704192
0.682779,0.700397
0.696438,0.715460
0.683372,0.694692
0.691112,0.691053
0.682333,0.692720
0.693501,0.701969
0.679966,0.705233
0.678364,0.705710
0.689835,0.708418
0.689032,0.724762
0.691212,0.702046
0.700389,0.696778
0.676025,0.813258
0.708912,0.812975
0.687322,0.793124
0.683386,0.720477
0.674819,0.698415
0.685932,0.697720
0.677116,0.698022
0.705732,0.699811
0.688542,0.694974
0.687954,0.711777
0.691394,0.697535
0.689897,0.697181
0.686834,0.695039
0.681859,0.728882
0.685188,0.697925
0.685082,0.705273
0.692103,0.705971
0.698841,0.693191
0.691347,0.688698
0.674992,0.684020
0.664165,0.706366
0.679047,0.761249
0.685830,0.680075
0.685578,0.762919
0.676418,0.668504
0.669853,0.675227
0.687645,0.687792
0.670755,0.654027
0.673713,0.684625
0.672910,0.676512
0.677534,0.739200
0.682478,0.680272
0.676141,0.674622
0.674781,0.697041
0.651812,0.704235
0.663618,0.710075
0.659893,0.712263
0.663636,0.664844
0.650386,0.706276
0.671856,0.649633
0.664307,0.659985
0.665758,0.667486
0.667053,0.663474
0.668219,0.714903
0.680955,0.694472
0.677453,0.656005
0.668281,0.720991
0.681709,0.719295
0.676529,0.708267
0.669825,0.681384
0.671818,0.681619
0.662535,0.693178
0.661798,0.696649
0.641305,0.695934
0.637122,0.715691
0.642139,0.680316
0.664552,0.660376
0.652449,0.657579
0.638074,0.663683
0.661891,0.658202
0.634353,0.684634
0.658256,0.673027
0.630266,0.660216
0.630588,0.709188
0.658934,0.685018
0.655066,0.654824
0.640781,0.634036
0.634160,0.673459
0.628510,0.676753
0.654902,0.643098
0.624942,0.636193
0.660317,0.634410
0.625433,0.624985
0.633518,0.624183
0.631002,0.623528
0.634308,0.623673
0.655191,0.625072
0.613421,0.634835
0.629542,0.638709
0.619414,0.644769
0.643307,0.633114
0.624670,0.627714
0.652367,0.625678
0.608188,0.624217
0.650222,0.623362
0.642466,0.622345
0.605888,0.621403
0.603884,0.621868
0.644730,0.622775
0.616976,0.623845
0.620207,0.623692
0.611250,0.622819
0.607094,0.623388
0.647976,0.623466
0.621728,0.624232
0.616775,0.625599
0.589574,0.625137
0.606273,0.625424
0.615219,0.624794
0.645765,0.628330
0.620985,0.626950
0.632014,0.626444
